,original_name,condition,channel_n,row,col,tile_computation,z_depth_string,timepoint,well,channel,z_depth,isl_name
1,r01c05f08p01-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,01,k2,A05,BRIGHTFIELD,0,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-0,channel-BRIGHTFIELD,is_mask-false.tiff"
2,r01c05f08p12-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,12,k2,A05,BRIGHTFIELD,11,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-11,channel-BRIGHTFIELD,is_mask-false.tiff"
3,r01c05f08p04-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,04,k2,A05,BRIGHTFIELD,3,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-3,channel-BRIGHTFIELD,is_mask-false.tiff"
4,r01c05f08p13-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,13,k2,A05,BRIGHTFIELD,12,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-12,channel-BRIGHTFIELD,is_mask-false.tiff"
5,r01c05f08p05-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,05,k2,A05,BRIGHTFIELD,4,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-4,channel-BRIGHTFIELD,is_mask-false.tiff"
6,r01c05f08p16-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,16,k2,A05,BRIGHTFIELD,15,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-15,channel-BRIGHTFIELD,is_mask-false.tiff"
7,r01c05f08p15-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,15,k2,A05,BRIGHTFIELD,14,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-14,channel-BRIGHTFIELD,is_mask-false.tiff"
8,r01c05f08p03-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,03,k2,A05,BRIGHTFIELD,2,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-2,channel-BRIGHTFIELD,is_mask-false.tiff"
9,r01c05f08p10-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,10,k2,A05,BRIGHTFIELD,9,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-9,channel-BRIGHTFIELD,is_mask-false.tiff"
10,r01c05f08p06-ch2sk2fk1fl1_flatfield.tiff,703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,ch2,01,05,08,06,k2,A05,BRIGHTFIELD,5,"lab-CCLF,condition-703__2018-11-07T20_55_16-Measurement_1-sk2-A05-f08-ch2,acquisition_date,year-2019,month-1,day-22,minute-53,well-A05,tile_computation-08,z_depth-5,channel-BRIGHTFIELD,is_mask-false.tiff"
